P204_01-00	Ronan Huon	RONAN HUON	# 'ro.nɑ̃n 'y.õn #	1	0	0	01_poems_-_SPONT.txt
P204_01-01	Spont	SPONT	# spõnt #	1	0	0	01_poems_-_SPONT.txt
P204_01-02	Aon am eus , aon ac'h eus , aon en deus , aon o deus .	Aon am eus, aon ac’h eus, aon en deus, aon o deus...	# ɑ̃wn ɑ̃m øs # ɑ̃wn ah øs # ɑ̃wn en døs # ɑ̃wn o døs #	1	0	0	01_poems_-_SPONT.txt
P204_01-03	Aon o deus holl .	Aon o deus holl.	# ɑ̃wn o døs ɔl #	1	0	0	01_poems_-_SPONT.txt
P204_01-04	Ar verb a-bezh a dremeno .	Ar verb a-bezh a dremeno.	# ar vɛrp 'a.bez a dre.'me.no #	1	0	0	01_poems_-_SPONT.txt
P204_01-05	Erru omp e kantved ar spont .	Erru omp e kantved ar spont.	# 'ɛ.ry õb e 'kɑ̃n.ved ar spõnt #	1	0	0	01_poems_-_SPONT.txt
P204_01-06	Pa zigor an nor e red ur gridienn en aer	Pa zigor an nor e red ur gridienn en aer	# pa 'zig.ɔr ɑ̃n no:r e re:d œr gri.'di.ɛn en ɛ:r #	1	0	0	01_poems_-_SPONT.txt
P204_01-07	Pa ruz un dorn ouzh ar voger er-maez ,	Pa ruz un dorn ouzh ar voger er-maez,	# pa ry:z œn dɔrn uz ar 'vog.ɛr 'er.mɛs #	1	0	0	01_poems_-_SPONT.txt
P204_01-08	en em c'houlomp petra eo .	en em c’houlomp petra eo.	# en ɛm 'xu.lõm 'pe.tra ɛw #	1	0	0	01_poems_-_SPONT.txt
P204_01-09	Ar gwez a gren a-hed va hent .	Ar gwez a gren a-hed va hent.	# ar gwe:z a gre:n 'ah.et va hɛnt #	1	0	0	01_poems_-_SPONT.txt
P204_01-10	N'eus ket an disterañ aezenn .	N’eus ket an disterañ aezenn.	# nøs ked ɑ̃n di.'ste.rɑ̃ 'ɛ.zɛn #	1	0	0	01_poems_-_SPONT.txt
P204_01-11	Dremm an tiez nevez a zo gwenn gant ar spont	Dremm an tiez nevez a zo gwenn gant ar spont	# drɛm ɑ̃n 'ti.ɛs 'ne.vez a zo gwɛn gɑ̃n ar spõnt #	1	0	0	01_poems_-_SPONT.txt
P204_01-12	ha n'int ket holl savet c'hoazh en-dro .	ha n’int ket holl savet c’hoazh en-dro.	# a nin ket ɔl 'sɑ.vɛt xwaz 'en.dro #	1	0	0	01_poems_-_SPONT.txt
P204_01-13	Krog int da adober tour ar gar .	Krog int da adober tour ar gar.	# kro:g in dɑ a.'do.bɛr tu:r ar ga:r #	1	0	0	01_poems_-_SPONT.txt
P204_01-14	Chafodoù e pep lec'h ,	Chafodoù e pep lec’h,	# ʃa.'fo.du e pep lɛx #	1	0	0	01_poems_-_SPONT.txt
P204_01-15	aon o deus e kouezhfent war o fenn , an dremenidi ,	aon o deus e kouezhfent war o fenn, an dremenidi,	# ɑ̃wn o døz e 'kwɛ.sfɛn war o fɛn # ɑ̃n dre.me.'ni.di #	1	0	0	01_poems_-_SPONT.txt
P204_01-16	aon o deus e kouezhfe o fenn ,	aon o deus e kouezhfe o fenn,	# ɑ̃wn o døz e 'kwɛ.sfe o fɛn #	1	0	0	01_poems_-_SPONT.txt
P204_01-17	war ar pavez ,	war ar pavez,	# war ar 'pɑ.vɛs #	1	0	0	01_poems_-_SPONT.txt
P204_01-18	hag e ruilhfe 'lec'h ma ruilh karr an ispisour , 	hag e ruilhfe ‘lec’h ma ruilh karr an ispisour,	# ag e lɛx ma ryʎ kar ɑ̃n i.'spi.sur #	1	0	0	01_poems_-_SPONT.txt
P204_01-19	'vel ur voull , 'vel ur voull , 'vel ur voull .	‘vel ur voull, ‘vel ur voull, ‘vel ur voull.	# vel œr vul # vel œr vul # vel œr vul #	1	0	0	01_poems_-_SPONT.txt
P204_01-20	Brest , mil nav c'hant unan ha hanter kant	Brest, 1951	# brest # mil naw xɑ̃nd 'y.nɑ̃n a 'hɑ̃n.tɛr kɑ̃nt #	1	0	0	01_poems_-_SPONT.txt
P204_02-00	Ronan Huon	﻿RONAN HUON	# 'ro.nɑ̃n 'y.õn #	1	0	0	02_poems_-_GOUESTL.txt
P204_02-01	Gouestl	GOUESTL	# gwestl #	1	0	0	02_poems_-_GOUESTL.txt
